iter	Passed	Remaining
0	1	180
1	3	158
2	4	147
3	5	134
4	7	136
5	8	133
6	9	132
7	11	130
8	12	129
9	14	127
10	15	125
11	16	123
12	18	122
13	19	120
14	21	119
15	22	118
16	24	118
17	25	118
18	27	116
19	28	115
20	30	113
21	31	111
22	32	110
23	34	108
24	35	106
25	37	105
26	38	102
27	38	100
28	39	97
29	40	95
30	41	93
31	42	90
32	43	88
33	44	86
34	45	84
35	46	82
36	47	80
37	48	78
38	49	76
39	50	75
40	51	73
41	51	71
42	52	69
43	53	68
44	54	66
45	55	64
46	56	63
47	57	61
48	58	60
49	59	59
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	103	1
99	104	0
